Store,Day of week,Total demand for this day
1004,Mon,25
1004,Tue,24
1004,Wed,24
1004,Thu,36
1004,Fri,34
1004,Sat,31
1005,Mon,20
1005,Tue,19
1005,Wed,26
1005,Thu,25
1005,Fri,28
1005,Sat,21
1007,Mon,38
1007,Tue,38
1007,Wed,40
1007,Thu,64
1007,Fri,59
1007,Sat,24
1015,Mon,35
1015,Tue,30
1015,Wed,33
1015,Thu,36
1015,Fri,45
1015,Sat,60
1018,Mon,41
1018,Tue,42
1018,Wed,53
1018,Thu,58
1018,Fri,64
1018,Sat,57
1019,Mon,22
1019,Tue,22
1019,Wed,25
1019,Thu,21
1019,Fri,25
1019,Sat,27
1021,Mon,47
1021,Tue,34
1021,Wed,69
1021,Thu,54
1021,Fri,65
1021,Sat,39
1029,Mon,20
1029,Tue,20
1029,Wed,24
1029,Thu,21
1029,Fri,23
1029,Sat,23
1041,Mon,25
1041,Tue,27
1041,Wed,28
1041,Thu,29
1041,Fri,40
1041,Sat,34
1045,Mon,39
1045,Tue,48
1045,Wed,45
1045,Thu,60
1045,Fri,70
1045,Sat,39
1049,Mon,28
1049,Tue,31
1049,Wed,36
1049,Thu,31
1049,Fri,37
1049,Sat,42
1050,Mon,31
1050,Tue,27
1050,Wed,27
1050,Thu,37
1050,Fri,47
1050,Sat,25
1052,Mon,26
1052,Tue,28
1052,Wed,26
1052,Thu,33
1052,Fri,38
1052,Sat,38
1053,Mon,28
1053,Tue,25
1053,Wed,36
1053,Thu,34
1053,Fri,44
1053,Sat,25
1058,Mon,28
1058,Tue,23
1058,Wed,22
1058,Thu,31
1058,Fri,34
1058,Sat,39
1071,Mon,21
1071,Tue,21
1071,Wed,24
1071,Thu,20
1071,Fri,22
1071,Sat,26
1074,Mon,22
1074,Tue,21
1074,Wed,20
1074,Thu,21
1074,Fri,33
1074,Sat,23
1077,Mon,29
1077,Tue,30
1077,Wed,31
1077,Thu,41
1077,Fri,48
1077,Sat,56
1082,Mon,24
1082,Tue,26
1082,Wed,26
1082,Thu,38
1082,Fri,38
1082,Sat,24
1092,Mon,25
1092,Tue,24
1092,Wed,25
1092,Thu,40
1092,Fri,40
1092,Sat,23
1094,Mon,32
1094,Tue,34
1094,Wed,67
1094,Thu,60
1094,Fri,64
1094,Sat,34
1095,Mon,22
1095,Tue,22
1095,Wed,23
1095,Thu,32
1095,Fri,29
1095,Sat,22
1097,Mon,21
1097,Tue,24
1097,Wed,29
1097,Thu,29
1097,Fri,25
1097,Sat,23
1100,Mon,35
1100,Tue,28
1100,Wed,28
1100,Thu,43
1100,Fri,57
1100,Sat,53
1102,Mon,38
1102,Tue,36
1102,Wed,54
1102,Thu,52
1102,Fri,71
1102,Sat,40
1128,Mon,29
1128,Tue,32
1128,Wed,36
1128,Thu,58
1128,Fri,82
1128,Sat,28
1137,Mon,25
1137,Tue,25
1137,Wed,25
1137,Thu,33
1137,Fri,38
1137,Sat,35
1142,Mon,33
1142,Tue,38
1142,Wed,63
1142,Thu,60
1142,Fri,71
1142,Sat,33
1143,Mon,27
1143,Tue,24
1143,Wed,32
1143,Thu,26
1143,Fri,33
1143,Sat,36
1153,Mon,56
1153,Tue,39
1153,Wed,44
1153,Thu,57
1153,Fri,69
