Store,Postal code,City,Store nr,Longitude,Latitude,Max. allowed truck type,"Open 
(mon - sat)","Close
(mon - sat)",Distance to DC (km),Driving time to DC
1,5042MC,TILBURG,1004,5.054236,51.570384,Euro,08:00,20:00,6,00:15
2,4834HE,BREDA,1005,4.804898,51.572232,Euro,08:00,20:00,29,00:32
3,4826HN,BREDA,1007,4.78928,51.607022,Euro,08:00,21:00,35,00:34
4,6542PP,NIJMEGEN,1015,5.839595,51.841008,Euro,08:00,21:00,69,01:07
5,6042EJa,ROERMOND,1018,6.020873,51.208839,Euro,08:00,22:00,87,01:22
6,6161BP,GELEEN,1019,5.826826,50.967117,Euro,08:00,20:00,109,01:31
7,6521GR,NIJMEGEN,1021,5.874174,51.838209,Euro,08:00,22:00,68,01:13
8,4811WV,BREDA,1029,4.77263,51.588149,Small,08:00,20:00,36,00:39
9,5615PS,EINDHOVEN,1041,5.469944,51.432634,Euro,08:00,22:00,34,00:34
10,4835RB,BREDA,1045,4.791388,51.56996,Euro,08:00,22:00,33,00:33
11,5025JaX,TILBURG,1049,5.067153,51.548874,City,08:00,21:00,6,00:14
12,5211XT,'S-HERTOGENBOSCH,1050,5.303655,51.692024,Small,08:00,20:00,25,00:33
13,6461BT,KERKRADE,1052,6.068816,50.869383,Euro,08:00,20:00,132,01:53
14,5645GC,EINDHOVEN,1053,5.509809,51.427916,Euro,08:00,21:00,37,00:39
15,6411AW,HEERLEN,1058,5.969614,50.886518,Euro,08:00,20:00,121,01:38
16,4901JaD,OOSTERHOUT NB,1071,4.86052,51.643401,Euro,08:00,20:00,33,00:36
17,6441CN,BRUNSSUM,1074,5.970379,50.946241,Euro,08:00,20:00,114,01:41
18,5644GJa,EINDHOVEN,1077,5.491616,51.420077,Euro,08:00,22:00,36,00:37
19,5554HN,VALKENSWAARD,1082,5.458689,51.353205,City,08:00,20:00,44,00:47
20,4007TK,TIEL,1092,5.399868,51.871115,Euro,08:00,20:00,61,01:02
21,4001CB,TIEL,1094,5.42907,51.88824,Euro,08:00,21:00,63,01:01
22,5044JaC,TILBURG,1095,5.038356,51.57592,Euro,08:00,20:00,7,00:15
23,5038WN,TILBURG,1097,5.090485,51.554922,Euro,08:00,20:00,4,00:10
24,5224AA,'S-HERTOGENBOSCH,1100,5.266791,51.696738,Euro,08:00,20:00,25,00:33
25,4536AJa,TERNEUZEN,1102,3.846251,51.320489,Euro,08:00,20:00,140,01:57
26,5261EC,VUGHT,1128,5.299714,51.65817,Euro,08:00,22:00,19,00:23
27,5711EM,SOMEREN,1137,5.711376,51.382757,Euro,08:00,20:00,59,00:55
28,4204BS,GORINCHEM,1142,4.961364,51.83732,Euro,08:00,20:00,49,00:48
29,4904AW,OOSTERHOUT NB,1143,4.858088,51.627632,Euro,08:00,20:00,37,00:34
30,6224JaJa,MAASTRICHT,1153,5.712424,50.849318,Euro,08:00,22:00,119,01:37
31,4501AK,OOSTBURG,1160,3.483537,51.325682,Euro,08:00,20:00,167,02:29
32,5461KS,VEGHEL,1165,5.547376,51.615065,Euro,08:00,20:00,46,00:43
33,6466CX,KERKRADE,1169,6.027447,50.857521,Euro,08:00,20:00,128,01:47
34,4817PV,BREDA,1174,4.82281,51.590001,Euro,08:00,20:00,32,00:31
35,5931NS,TEGELEN,1175,6.140439,51.341371,Euro,08:00,20:00,91,01:18
36,6531HE,NIJMEGEN,1178,5.849855,51.831108,City,08:00,21:00,66,01:08
37,5629PX,EINDHOVEN,1179,5.472738,51.489289,City,08:00,21:00,34,00:34
38,5751GX,DEURNE,1187,5.797824,51.462587,City,08:00,20:00,66,01:04
39,5632DC,EINDHOVEN,1188,5.49412,51.470476,Euro,08:00,20:00,34,00:34
40,5011LR,TILBURG,1189,5.085731,51.584654,Euro,08:00,21:00,3,00:07
41,5701AL,HELMOND,1191,5.667535,51.488608,Euro,08:00,21:00,49,00:55
42,5664HN,GELDROP,1192,5.558636,51.422722,Euro,08:00,20:00,46,00:44
43,6211TA,MAASTRICHT,1194,5.688521,50.850848,Rigid,08:00,20:00,122,01:43
44,5242CZ,ROSMALEN,1198,5.366156,51.710254,Euro,08:00,22:00,27,00:32
45,6041GM,ROERMOND,1199,5.994518,51.196341,Euro,08:00,21:00,84,01:18
46,5061HL,OISTERWIJK,1205,5.19349,51.58055,Euro,08:00,20:00,10,00:17
47,5654AZ,EINDHOVEN,1208,5.462422,51.423335,Euro,08:00,20:00,34,00:34
48,5233AP,'S-HERTOGENBOSCH,1219,5.313498,51.713379,Euro,08:00,20:00,30,00:35
49,5344AM,OSS,1222,5.51202,51.75366,Euro,08:00,20:00,40,00:44
