,DC_Tilburg,Store_1004,Store_1005,Store_1007,Store_1015,Store_1018,Store_1019,Store_1021,Store_1029,Store_1041,Store_1045,Store_1049,Store_1050,Store_1052,Store_1053,Store_1058,Store_1071,Store_1074,Store_1077,Store_1082,Store_1092,Store_1094,Store_1095,Store_1097,Store_1100,Store_1102,Store_1128,Store_1137,Store_1142,Store_1143,Store_1153,Store_1160,Store_1165,Store_1169,Store_1174,Store_1175,Store_1178,Store_1179,Store_1187,Store_1188,Store_1189,Store_1191,Store_1192,Store_1194,Store_1198,Store_1199,Store_1205,Store_1208,Store_1219,Store_1222
DC_Tilburg,0.0,6.2171,29.9373,35.5205,68.2663,87.4725,106.9195,68.99239999999999,35.497099999999996,34.328300000000006,33.638400000000004,6.1301000000000005,25.341099999999997,126.305,37.5477,122.076,22.8173,114.4434,36.177099999999996,50.1522,58.9968,60.4069,6.7267,4.9132,25.411099999999998,140.88739999999999,19.6215,59.177800000000005,47.1826,23.9749,120.7611,165.56789999999998,47.0576,128.634,32.883300000000006,91.6015,66.9335,34.6826,65.7285,34.8467,3.0833000000000004,51.2936,46.681400000000004,123.84689999999999,27.9444,85.1378,10.346200000000001,34.1274,26.9203,40.3052
Store_1004,5.9333,0.0,23.263099999999998,21.609099999999998,76.9807,93.61919999999999,113.0663,77.7067,28.8228,40.475,26.9642,3.6564,36.791599999999995,132.4518,43.6945,128.2227,20.4321,120.5902,42.323800000000006,56.299,66.1913,67.6014,1.4233,6.9899,31.1301,134.2132,28.335900000000002,65.3246,46.1502,19.05,126.9079,158.89370000000002,53.2043,134.7808,18.9719,97.7482,75.6478,40.8294,71.87519999999999,40.9934,4.0544,57.440400000000004,52.8281,129.99360000000001,36.658699999999996,91.28460000000001,19.0605,40.2742,35.3705,49.0195
Store_1005,33.0385,26.6903,0.0,5.3034,94.31819999999999,111.118,130.5651,95.0443,3.702,57.973800000000004,1.5277,24.6462,49.11,149.9506,61.1933,145.7215,11.62,138.089,59.8226,73.79769999999999,70.2245,71.6347,19.4084,26.6735,43.4484,116.348,45.8346,82.82339999999999,36.2141,10.2379,144.4067,141.0285,70.7031,152.2795,3.1668000000000003,115.247,92.98530000000001,58.3281,89.374,58.4922,29.5201,74.9392,70.3269,158.55089999999998,53.996199999999995,108.7834,36.5593,57.773,47.6888,66.357
Store_1007,36.000699999999995,21.5958,5.2116999999999996,0.0,94.1092,114.08019999999999,133.5273,94.8353,4.4271,60.936,5.2145,27.6083,48.901,152.9127,64.1554,148.68370000000002,11.411,141.05110000000002,62.784800000000004,76.75989999999999,70.0155,71.42569999999999,20.369799999999998,29.6356,43.2394,121.262,48.2406,85.7855,36.005199999999995,10.0289,147.3688,145.9425,73.6653,155.2417,4.1727,118.2092,92.7763,61.2903,92.3361,61.4544,27.458299999999998,77.9013,73.2891,163.4649,53.7872,111.7455,39.5214,60.735099999999996,47.479800000000004,66.148
Store_1015,68.788,77.7972,95.0651,95.1075,0.0,90.7194,125.9351,3.059,97.60539999999999,68.5735,95.7467,73.2499,49.192699999999995,145.3205,69.58510000000001,141.0915,86.1025,133.459,70.39410000000001,79.3665,42.381699999999995,36.566900000000004,75.1208,71.94189999999999,53.91,203.487,51.1834,69.232,72.4005,87.5896,139.7766,228.1675,43.472,147.6495,92.4704,70.8442,1.7221,63.8412,55.5237,64.0053,71.2993,61.6992,72.88810000000001,142.8624,42.7844,92.2107,63.1559,71.3163,48.8917,34.2281
Store_1018,87.449,93.7338,108.4735,114.0566,90.9757,0.0,38.306,87.1978,114.0332,53.238800000000005,112.17460000000001,89.18,91.1047,57.6915,51.1496,53.4625,110.0275,45.8299,50.211400000000005,47.5755,123.84530000000001,118.0304,95.1027,87.872,91.1748,193.824,85.6724,38.746900000000004,135.2175,108.6455,52.1476,218.5045,68.0126,60.0205,111.4195,21.8155,85.4937,60.1571,41.555099999999996,57.0683,89.9603,49.7162,55.119800000000005,55.2333,93.9422,3.2348000000000003,84.98219999999999,53.088800000000006,92.684,106.303
Store_1019,107.1639,113.4488,128.1885,133.7716,125.2819,38.4875,0.0,121.50410000000001,133.74820000000003,72.9538,131.8895,108.895,110.8197,26.9531,70.8645,15.6189,129.7425,15.7399,69.9264,67.2905,144.7096,146.1198,114.8176,107.587,110.88969999999999,172.3505,105.3874,58.4619,154.9324,128.3604,20.0758,197.031,95.72760000000001,22.1769,131.1345,56.1217,119.8,79.8721,74.5603,76.7833,109.67530000000001,70.9129,74.8348,23.1616,113.6572,33.609199999999994,104.6972,72.80380000000001,112.399,126.018
Store_1021,69.039,78.0482,95.3162,95.3585,3.0281,86.6362,121.8519,0.0,97.8564,68.8245,95.9978,73.50089999999999,49.4437,141.2374,69.83619999999999,137.0083,86.3535,129.3758,70.6451,79.6175,45.777699999999996,39.962900000000005,75.37180000000001,72.1929,54.161,203.738,51.434400000000004,65.14880000000001,75.7965,87.84060000000001,135.6935,228.4185,43.723,143.5664,92.72139999999999,66.761,2.8695,64.09219999999999,51.4405,64.2563,71.5504,57.616099999999996,73.1391,138.7792,43.0354,88.1275,63.4069,71.5673,49.1427,34.479099999999995
Store_1029,35.456,29.1078,4.363,4.4503,95.5963,113.5355,132.98260000000002,96.32239999999999,0.0,60.3913,3.0612,27.0637,50.3881,152.3681,63.610699999999994,148.139,12.898100000000001,140.5065,62.2401,76.2152,71.50269999999999,72.9128,26.2186,29.091,44.7265,115.8797,48.2521,85.2409,37.4923,11.5161,146.82420000000002,140.5602,73.12060000000001,154.697,5.3631,117.6645,94.2635,60.745599999999996,91.7915,60.909699999999994,31.9376,77.3567,72.7444,158.0826,55.2744,111.20089999999999,38.976800000000004,60.1905,48.9669,67.6352
Store_1041,34.3528,40.637699999999995,55.377300000000005,60.9605,67.5719,53.3613,72.80839999999999,68.298,60.9371,0.0,59.0784,36.0839,38.0025,92.1939,3.4963,87.9648,56.9313,80.3323,3.3417,11.0181,71.8925,73.30260000000001,42.0065,34.775800000000004,38.0726,146.0273,32.5702,24.9786,82.1153,55.5493,86.65,170.7078,24.457900000000002,94.52289999999999,58.3233,57.4022,66.23910000000001,7.3676,25.8968,5.5137,36.8641,17.0096,6.799300000000001,89.7357,40.8401,51.0267,31.8861,1.3280999999999998,39.5818,49.0103
